Country,CO2 Emissions per capita (tons),"CO2 Emissions (tons, 2016)",Population-2016,Kg,KGCo2perYear,KgCO2perWeek
China,7.38,10432751400,1414049351,1.04328E+13,7377.925949,141.8831913
United States,15.52,5011686600,323015995,5.01169E+12,15515.28927,298.3709474
India,1.91,2533638100,1324517249,2.53364E+12,1912.876636,36.78608916
Russia,11.44,1661899300,145275383,1.6619E+12,11439.64838,219.9932381
Japan,9.7,1239592060,127763265,1.23959E+12,9702.257218,186.5818696
Germany,9.44,775752190,82193768,7.75752E+11,9438.090124,181.5017332
Canada,18.58,675918610,36382944,6.75919E+11,18577.89765,357.2672626
Iran,8.08,642560030,79563989,6.4256E+11,8076.015771,155.3079956
South Korea,11.85,604043830,50983457,6.04044E+11,11847.83978,227.8430727
Indonesia,2.03,530035650,261556381,5.30036E+11,2026.468052,38.97053947
Saudi Arabia,15.94,517079407,32443447,5.17079E+11,15937.86896,306.4974801
Brazil,2.25,462994920,206163053,4.62995E+11,2245.770584,43.18789585
Mexico,3.58,441412750,123333376,4.41413E+11,3579.021059,68.82732806
Australia,17.1,414988700,24262712,4.14989E+11,17103.97008,328.9225015
South Africa,6.95,390557850,56207646,3.90558E+11,6948.482596,133.6246653
Turkey,4.61,368122740,79827871,3.68123E+11,4611.456317,88.68185225
United Kingdom,5.55,367860350,66297944,3.6786E+11,5548.593634,106.7037237
Italy,5.9,358139550,60663060,3.5814E+11,5903.750157,113.5336569
France,5.13,331533320,64667596,3.31533E+11,5126.730241,98.59096617
Poland,7.81,296659670,37989220,2.9666E+11,7809.048725,150.1740139
Taiwan,11.72,276724868,23618200,2.76725E+11,11716.59432,225.3191216
Thailand,3.93,271040160,68971308,2.7104E+11,3929.752354,75.57216066
Malaysia,8.68,266251542,30684654,2.66252E+11,8677.026047,166.8658855
Spain,5.4,251892320,46634140,2.51892E+11,5401.457387,103.8741805
Ukraine,5.22,233220080,44713702,2.3322E+11,5215.852626,100.3048582
Kazakhstan,13.01,231919540,17830901,2.3192E+11,13006.60802,250.1270774
Egypt,2.32,219377350,94447073,2.19377E+11,2322.754354,44.66835295
United Arab Emirates,23.37,218788684,9360980,2.18789E+11,23372.41229,449.4694671
Vietnam,2.2,206042140,93640422,2.06042E+11,2200.354672,42.31451292
Argentina,4.61,200708270,43508460,2.00708E+11,4613.086053,88.71319332
Pakistan,0.87,178013820,203631353,1.78014E+11,874.1965192,16.81147152
Venezuela,5.89,175884256,29851255,1.75884E+11,5892.022161,113.3081185
Netherlands,9.62,163419285,16981295,1.63419E+11,9623.487785,185.0670728
Iraq,4.44,162646160,36610632,1.62646E+11,4442.593616,85.43449261
Algeria,3.85,156220560,40551392,1.56221E+11,3852.409308,74.08479439
Philippines,1.22,126922662,103663816,1.26923E+11,1224.368028,23.54553901
Czech Republic (Czechia),10.53,111825428,10618857,1.11825E+11,10530.83472,202.5160523
Uzbekistan,3.48,109347340,31441751,1.09347E+11,3477.77514,66.88029116
Kuwait,25.65,101492225,3956875,1.01492E+11,25649.5909,493.2613635
Qatar,37.29,98990085,2654374,98990085000,37293.19418,717.1768111
Belgium,8.34,94722813,11354420,94722813000,8342.373543,160.4302604
Oman,19.61,87835773,4479219,87835773000,19609.61788,377.1080362
Nigeria,0.44,82634214,185960241,82634214000,444.3649543,8.545479891
Chile,4.46,81258525,18209068,81258525000,4462.530702,85.81789811
Turkmenistan,14,79279216,5662368,79279216000,14001.07093,269.251364
Romania,3.98,78770824,19796285,78770824000,3979.071023,76.52059659
Colombia,1.61,77667594,48175052,77667594000,1612.195333,31.0037564
Bangladesh,0.47,74476230,157977153,74476230000,471.4367146,9.066090666
Austria,8.43,73764112,8747301,73764112000,8432.785381,162.1689496
Greece,6.39,67840662,10615185,67840662000,6390.907177,122.9020611
Israel,8.04,65201588,8108985,65201588000,8040.659589,154.628069
Belarus,6.63,62655669,9445643,62655669000,6633.287856,127.563228
North Korea,2.32,58708734,25307665,58708734000,2319.800503,44.61154814
Morocco,1.64,57694464,35126283,57694464000,1642.487023,31.58628891
Peru,1.87,57692879,30926032,57692879000,1865.511845,35.87522778
Libya,8.12,52696075,6492162,52696075000,8116.876165,156.0937724
Finland,9.31,51183960,5497713,51183960000,9310.045832,179.0393429
